Category,Description,Nutrient Data Bank Number,Data.Household Weights(Gram),Data.Household Weight Description
ICE CREAM,"ICE CREAMS,BREYERS,ALL NAT LT FRENCH VANILLA",19875,68,"1 serving,  1/2 cup"
ICE CREAM,"ICE CREAMS,BREYERS,98% FAT FREE VANILLA",19876,68,"1 serving,  1/2 cup"
ICE CREAM,"ICE CREAMS,BREYERS,ALL NAT LT VANILLA CHOC STRAWBERRY",19877,68,"1 serving,  1/2 cup"
ICE CREAM,"ICE CREAMS,BREYERS,ALL NAT LT MINT CHOC CHIP",19878,68,"1 serving,  1/2 cup"
ICE CREAM,"ICE CREAMS,BREYERS,NO SUGAR ADDED,BUTTER PECAN",19879,68,"1 serving,  1/2 cup"
ICE CREAM,"ICE CREAMS,BREYERS,NO SUGAR ADDED,FRENCH VANILLA",19880,68,"1 serving,  1/2 cup"
ICE CREAM,"ICE CREAMS,BREYERS,NO SUGAR ADDED,VANILLA",19881,68,"1 serving,  1/2 cup"
ICE CREAM,"ICE CREAMS,BREYERS,98% FAT FREE CHOC",19893,68,"1 serving,  1/2 cup"
ICE CREAM,"ICE CREAMS,BREYERS,NO SUGAR ADDED,CHOC CARAMEL",19894,68,"1 serving,  1/2 cup"
ICE CREAM,"ICE CREAMS,BREYERS,NO SUGAR ADDED,VANILLA FUDGE TWIRL",19882,69,"1 serving,  1/2 cup"
ICE CREAM,"ICE CREAMS,BREYERS,NO SUGAR ADDED,VANILLA CHOC STRAWBERRY",19883,72,"1 serving,  1/2 cup"
ICE CREAM,"ICE CREAMS,BREYERS,ALL NAT LT VANILLA",19874,74.41,"1 serving,  3.5 fl oz bar"
ICE CREAM,"ICE CREAMS,VANILLA,RICH",19088,76,"1 serving,  1/2 cup"
ICE CREAM,"ICE CREAMS,BREYERS,ALL NAT LT FRENCH CHOC",19892,79.55,"1 serving,  2 pops"
ICE CREAM,"ICE CREAMS,FRENCH VANILLA,SOFT-SERVE",19089,106.5,.5 cup
ICE CREAM,"ICE CREAMS,VANILLA",19094,153,.5 cup
ICE CREAM,"ICE CREAMS,VANILLA,LT",19087,170,"1 cup, chips"
ICE CREAM,"LIGHT ICE CRM,SOFT SERVE,BLENDED W/ MILK CHOC CANDIES",21411,216.68,1 item
ICE CREAM,"ICE CREAMS,CHOC,LT",19113,315,1 cup
ICE CREAM,"LIGHT ICE CRM,SOFT SERVE,BLENDED W/ COOKIE PIECES",21412,348,"12 fl oz, cup"
ICE CREAMS,"ICE CREAMS,CHOC",19269,28,2 rolls
ICE CREAMS,"ICE CREAMS,HEALTHY CHOIC PRALINE & CARAMEL",19258,44,"1 serving, 5 pieces"
ICE CREAMS,"ICE CREAMS,STRAWBERRY",19270,58,"1 individual,  (3.5 fl oz)"
ICE CREAMS,"ICE CREAMS,VANILLA,LT,NO SUGAR ADDED",19259,71,"1 serving, 1/2 cup"
ICE CREAMS,"ICE CREAMS,CHOC,LT,NO SUGAR ADDED",19263,77,"1 bar,  (2.5 fl oz)"
JACKFRUIT,"JACKFRUIT,RAW",9144,165,"1 cup, sliced"
JACKFRUIT,"JACKFRUIT,CND,SYRUP PK",9420,178,"1 cup,  drained"
JAM,"JAMS&PRESERVES,APRICOT",19710,88,"1 package,  (3.12 oz)"
JAM,JAMS AND PRESERVES,19296,339,1 cup
JAVA-PLUM,"JAVA-PLUM,(JAMBOLAN),RAW",9145,135,1 cup
JELLIES,JELLIES,19297,20,1 tbsp
JUICE,"GRAPEFRUIT JUC,WHITE,FRZ CONC,UNSWTND,UNDIL",9125,207,"1 can,  (6 fl oz)"
JUICE,"APPLE JUC,FRZ CONC,UNSWTND,UNDIL,WO/ VIT C",9017,211,"1 can,  (6 fl oz)"
JUICE,"APPLE JUC,FRZ CONC,UNSWTND,UNDIL,W/ VIT C",9410,211,"1 can,  (6 fl oz)"
JUICE,"TANGERINE JUC,FRZ CONC,SWTND,UNDIL",9224,214,"1 can,  (6 fl oz)"
JUICE,"PINEAPPLE JUC,FRZ CONC,UNSWTND,UNDIL",9274,216,"1 can,  (6 fl oz)"
JUICE,"APPLE JUC,FRZ CONC,UNSWTND,DIL W/3 VOLUME H2O WO/ VIT C",9018,239,1 cup
JUICE,"APPLE JUC,FRZ CONC,UNSWTND,DIL W/3 VOLUME H2O,W/ VIT C",9411,239,1 cup
JUICE,"TANGERINE JUC,FRZ CONC,SWTND,DIL W/3 VOLUME H2O",9225,241,1 cup
JUICE,"LIME JUICE,RAW",9160,241.53,1 cup
JUICE,"ACEROLA JUICE,RAW",9002,242,1 cup
JUICE,"LEMON JUICE,RAW",9152,244,1 cup
JUICE,"LEMON JUC,CND OR BTLD",9153,244,1 cup
JUICE,"LEMON JUC,FRZ,UNSWTND,SINGLE STRENGTH",9154,244,1 cup
JUICE,"LIME JUC,CND OR BTLD,UNSWTND",9161,246,1 cup
JUICE,"GRAPEFRUIT JUC,WHITE,CND,UNSWTND",9123,247,1 cup
JUICE,"GRAPEFRUIT JUC,WHITE,FRZ CONC,UNSWTND,DIL W/ 3 VOLUME H2O",9126,247,1 cup
JUICE,"GRAPEFRUIT JUC,WHITE,RAW",9128,247,1 cup
JUICE,"ORANGE-GRAPEFRUIT JUC,CND,UNSWTND",9217,247,1 cup
JUICE,"TANGERINE JUICE,RAW",9221,247,1 cup
JUICE,"PASSION-FRUIT JUC,PURPLE,RAW",9232,247,1 cup
JUICE,"PASSION-FRUIT JUC,YEL,RAW",9233,247,1 cup
JUICE,"GRAPEFRUIT JUICE,PINK,RAW",9404,247,1 cup
JUICE,"MIXED VEG & FRUIT JUC DRK,W/ ADDED NUTR",14119,247.35,8 fl oz
JUICE,"APPLE JUC,CND OR BTLD,UNSWTND,WO/ ADDED VIT C",9016,248,1 cup
JUICE,"ORANGE JUICE,RAW",9206,248,1 cup
JUICE,"ORANGE JUC,CND,UNSWTND",9207,249,1 cup
JUICE,"ORANGE JUC,CHILLED,INCL FROM CONC",9209,249,1 cup
JUICE,"ORANGE JUC,CHILLED,INCL FROM CONC,FORT W/ CA & VITAMIN D",9210,249,1 cup
JUICE,"ORANGE JUC,FRZ CONC,UNSWTND,DIL W/3 VOLUME H2O",9215,249,1 cup
JUICE,"TANGERINE JUC,CND,SWTND",9223,249,1 cup
JUICE,"ORANGE JUC,CALIFORNIA,CHILLED,INCL FROM CONC",9406,249,1 cup
JUICE,"POMEGRANATE JUC,BTLD",9442,249.03,1 cup
JUICE,"BLACKBERRY JUC,CND",9043,250,1 cup
JUICE,"GRAPEFRUIT JUC,WHITE,CND,SWTND",9124,250,1 cup
JUICE,"PINEAPPLE JUC,CND,UNSWTND,WO/ VIT C",9273,250,1 cup
JUICE,"PINEAPPLE JUC,FRZ CONC,UNSWTND,DIL W/3 VOLUME H2O",9275,250,1 cup
JUICE,"PINEAPPLE JUC,CND,UNSWTND,W/ ADDED VIT C",9409,250,1 cup
JUICE,"ORANGE&APRICOT JUC DRK,CND",14327,250,"1 cup,  (8 fl oz)"
JUICE,"PINEAPPLE&GRAPEFRUIT JUC DRK,CND",14334,250,"1 cup,  (8 fl oz)"
JUICE,"PINEAPPLE&ORANGE JUC DRK,CND",14341,250,"1 cup,  (8 fl oz)"
JUICE,"JUICE,APPL & GRAPE BLEND,W/ ADDED VIT C",9443,250.4,8 fl oz
JUICE,"JUICE,APPL,GRAPE & PEAR BLEND,W/ ADDED VIT C & CA",9444,250.4,8 fl oz
JUICE,"GRAPE JUC,CND OR BTLD,UNSWTND,W/ ADDED VIT C",9130,253,1 cup
JUICE,"GRAPE JUC,CND OR BTLD,UNSWTND,WO/ ADDED VIT C",9135,253,1 cup
JUICE,"PRUNE JUICE,CANNED",9294,256,1 cup
JUICE,"ORANGE JUC,FRZ CONC,UNSWTND,UNDIL",9214,284,1 cup
JUTE,"JUTE,POTHERB,RAW",11231,28,1 cup
JUTE,"JUTE,POTHERB,CKD,BLD,DRND,WO/SALT",11232,87,1 cup
JUTE,"JUTE,POTHERB,CKD,BLD,DRND,W/SALT",11789,87,1 cup
KALE,"KALE,RAW",11233,67,"1 cup, chopped"
KALE,"KALE,SCOTCH,RAW",11622,67,"1 cup, chopped"
KALE,"KALE,CKD,BLD,DRND,WO/SALT",11234,130,"1 cup, chopped"
KALE,"KALE,FRZ,CKD,BLD,DRND,WO/SALT",11236,130,"1 cup, chopped"
KALE,"KALE,SCOTCH,CKD,BLD,DRND,WO/SALT",11623,130,"1 cup, chopped"
KALE,"KALE,CKD,BLD,DRND,W/SALT",11790,130,"1 cup, chopped"
KALE,"KALE,FRZ,CKD,BLD,DRND,W/SALT",11791,130,"1 cup, chopped"
KALE,"KALE,SCOTCH,CKD,BLD,DRND,W/SALT",11792,130,"1 cup, chopped"
KALE,"KALE,FROZEN,UNPREPARED",11235,284,"1 package,  (10 oz)"
KAMUT,"KAMUT,UNCKD",20137,185.37,1 cup
KAMUT,"KAMUT,CKD",20138,185.63,1 cup
KANPYO,"KANPYO,(DRIED GOURD STRIPS)",11237,6.3,1 strip
KELLOGG,"KELLOGG,KELLOGG'S LOFAT POP TARTS,FRSTD CHOC FUDGE",18494,50,1 pastry
KELLOGG,"KELLOGG,KELLOGG'S LOFAT POP TARTS,STRAWBERRY",18495,52,1 pastry
KELLOGG,"KELLOGG,KELLOGG'S LOFAT POP TARTS,FRSTD STRAWBERRY",18496,52,1 pastry
KELLOGG,"KELLOGG,KELLOGG'S EGGO,BTTRMLK PANCAKE",18497,52,1 pastry
KELLOGG,"KELLOGG,KELLOGG'S LOFAT POP TARTS,FRSTD BROWN SUGAR CINN",18490,54,1 pastry
KELLOGG,"KELLOGG,KELLOGG'S NUTRI-GRAIN CRL BARS,MXD BERRY",18500,78,1 serving
KELLOGG,"KELLOGG,KELLOGG'S EGGO,BANANA BREAD WAFFLES",18499,116,"3 pancakes,  (NLEA serving)"
KIWI FRUIT,"KIWI FRUIT,(CHINESE GOOSEBERRIES),FRSH,RAW",9148,177,1 cup
KIWIFRUIT,"KIWIFRUIT,(CHINESE GOOSEBERRIES),HELD IN STORAGE,RAW",9405,91,"1 fruit, without skin large"
KOHLRABI,"KOHLRABI,RAW",11241,135,1 cup
KOHLRABI,"KOHLRABI,CKD,BLD,DRND,WO/SALT",11242,165,"1 cup, sliced"
KOHLRABI,"KOHLRABI,CKD,BLD,DRND,W/SALT",11793,165,"1 cup, slices"
KUMQUATS,"KUMQUATS,RAW",9149,19,"1 fruit, without refuse"
LAMB,"LAMB,DOM,COMP OF RTL CUTS,LN&FAT,1/4""FAT,CHOIC,RAW",17001,28.35,1 oz
LAMB,"LAMB,DOM,COMP OF RTL CUTS,LN,1/4""FAT,CHOIC,RAW",17003,28.35,1 oz
LAMB,"LAMB,DOM,COMP OF RTL CUTS,FAT,1/4""FAT,CHOIC,RAW",17005,28.35,1 oz
LAMB,"LAMB,DOM,FORESHANK,LN&FAT,1/4""FAT,CHOIC,RAW",17007,28.35,1 oz
LAMB,"LAMB,DOM,FORESHANK,LN,1/4""FAT,CHOIC,RAW",17009,28.35,1 oz
LAMB,"LAMB,DOM,LEG,WHL (SHK&SIRL),LN&FAT,1/4""FAT,CHOIC,RAW",17011,28.35,1 oz
LAMB,"LAMB,DOM,LEG,WHL (SHK&SIRL),LN,1/4""FAT,CHOIC,RAW",17013,28.35,1 oz
LAMB,"LAMB,DOM,LEG,SHANK HALF,LN&FAT,1/4""FAT,CHOIC,RAW",17015,28.35,1 oz
LAMB,"LAMB,DOM,LEG,SHANK HALF,LN,1/4""FAT,CHOIC,RAW",17017,28.35,1 oz
LAMB,"LAMB,DOM,LEG,SIRLOIN HALF,LN&FAT,1/4""FAT,CHOIC,RAW",17019,28.35,1 oz
LAMB,"LAMB,DOM,LEG,SIRLOIN HALF,LN,1/4""FAT,CHOIC,RAW",17021,28.35,1 oz
LAMB,"LAMB,DOM,LOIN,LN&FAT,1/4""FAT,CHOIC,RAW",17023,28.35,1 oz
LAMB,"LAMB,DOM,LOIN,LN,1/4""FAT,CHOIC,RAW",17026,28.35,1 oz
LAMB,"LAMB,DOM,RIB,LN&FAT,1/4""FAT,CHOIC,RAW",17029,28.35,1 oz
LAMB,"LAMB,DOM,RIB,LN,1/4""FAT,CHOIC,RAW",17032,28.35,1 oz
LAMB,"LAMB,DOM,SHLDR,WHL (ARM&BLD),LN&FAT,1/4""FAT,CHOIC,RAW",17035,28.35,1 oz
LAMB,"LAMB,DOM,SHLDR,WHL (ARM&BLD),LN,1/4""FAT,CHOIC,RAW",17039,28.35,1 oz
LAMB,"LAMB,DOM,SHLDR,ARM,LN&FAT,1/4""FAT,CHOIC,RAW",17043,28.35,1 oz
LAMB,"LAMB,DOM,SHLDR,ARM,LN,1/4""FAT,CHOIC,RAW",17047,28.35,1 oz
LAMB,"LAMB,DOM,SHLDR,BLADE,LN&FAT,1/4""FAT,CHOIC,RAW",17051,28.35,1 oz
LAMB,"LAMB,DOM,SHLDR,BLADE,LN,1/4""FAT,CHOIC,RAW",17055,28.35,1 oz
LAMB,"LAMB,DOM,CUBED FOR STEW OR KABOB (LEG&SHLDR),LN,1/4""FAT,RAW",17059,28.35,1 oz
LAMB,"LAMB,NZ,IMP,FRZ,COMP OF RTL CUTS,LN&FAT,RAW",17062,28.35,1 oz
LAMB,"LAMB,NZ,IMP,FRZ,COMP OF RTL CUTS,LN,RAW",17064,28.35,1 oz
LAMB,"LAMB,NZ,IMP,FRZ,COMP OF RTL CUTS,FAT,RAW",17066,28.35,1 oz
LAMB,"LAMB,NZ,IMP,FRZ,FORESHANK,LN&FAT,RAW",17068,28.35,1 oz
LAMB,"LAMB,NZ,IMP,FRZ,FORESHANK,LN,RAW",17070,28.35,1 oz
LAMB,"LAMB,NZ,IMP,FRZ,LEG,WHL (SHK&SIRL),LN&FAT,RAW",17072,28.35,1 oz
LAMB,"LAMB,NZ,IMP,FRZ,LEG,WHL (SHK&SIRL),LN,RAW",17074,28.35,1 oz
LAMB,"LAMB,NZ,IMP,FRZ,LOIN,LN&FAT,RAW",17076,28.35,1 oz
LAMB,"LAMB,NZ,IMP,FRZ,LOIN,LN,RAW",17078,28.35,1 oz
LAMB,"LAMB,NZ,IMP,FRZ,RIB,LN&FAT,RAW",17080,28.35,1 oz
LAMB,"LAMB,NZ,IMP,FRZ,RIB,LN,RAW",17082,28.35,1 oz
LAMB,"LAMB,NZ,IMP,FRZ,SHLDR,WHL (ARM&BLD),LN&FAT,RAW",17084,28.35,1 oz
LAMB,"LAMB,NZ,IMP,FRZ,SHLDR,WHL (ARM&BLD),LN,RAW",17086,28.35,1 oz
LAMB,"LAMB,VAR MEATS&BY-PRODUCTS,BRAIN,RAW",17185,28.35,1 oz
LAMB,"LAMB,VAR MEATS&BY-PRODUCTS,HEART,RAW",17191,28.35,1 oz
LAMB,"LAMB,VAR MEATS&BY-PRODUCTS,KIDNEYS,RAW",17195,28.35,1 oz
LAMB,"LAMB,VAR MEATS&BY-PRODUCTS,LIVER,RAW",17199,28.35,1 oz
LAMB,"LAMB,VAR MEATS&BY-PRODUCTS,LUNGS,RAW",17205,28.35,1 oz
LAMB,"LAMB,VAR MEATS&BY-PRODUCTS,MECHANICALLY SEPARATED,RAW",17209,28.35,1 oz
LAMB,"LAMB,VAR MEATS&BY-PRODUCTS,PANCREAS,RAW",17210,28.35,1 oz
LAMB,"LAMB,VAR MEATS&BY-PRODUCTS,SPLEEN,RAW",17214,28.35,1 oz
LAMB,"LAMB,VAR MEATS&BY-PRODUCTS,TONGUE,RAW",17220,28.35,1 oz
LAMB,"LAMB,GROUND,RAW",17224,28.35,1 oz
LAMB,"LAMB,DOM,COMP OF RTL CUTS,LN&FAT,1/8""FAT,CHOIC,RAW",17226,28.35,1 oz
LAMB,"LAMB,DOM,FORESHANK,LN&FAT,1/8""FAT,CHOIC,RAW",17228,28.35,1 oz
LAMB,"LAMB,DOM,LEG,WHL (SHK&SIRL),LN&FAT,1/8""FAT,CHOIC,RAW",17230,28.35,1 oz
LAMB,"LAMB,DOM,LEG,SHANK HALF,LN&FAT,1/8""FAT,CHOIC,RAW",17232,28.35,1 oz
LAMB,"LAMB,DOM,LEG,SIRLOIN HALF,LN&FAT,1/8""FAT,CHOIC,RAW",17234,28.35,1 oz
LAMB,"LAMB,DOM,LOIN,LN&FAT,1/8""FAT,CHOIC,RAW",17236,28.35,1 oz
LAMB,"LAMB,DOM,RIB,LN&FAT,1/8""FAT,CHOIC,RAW",17239,28.35,1 oz
LAMB,"LAMB,DOM,SHLDR,WHL (ARM&BLD),LN&FAT,1/8""FAT,CHOIC,RAW",17242,28.35,1 oz
LAMB,"LAMB,DOM,SHLDR,ARM,LN&FAT,1/8""FAT,CHOIC,RAW",17246,28.35,1 oz
LAMB,"LAMB,DOM,SHLDR,BLADE,LN&FAT,1/8""FAT,CHOIC,RAW",17250,28.35,1 oz
LAMB,"LAMB,NZ,IMP,FRZ,COMP OF RTL CUTS,LN&FAT,1/8""FAT,RAW",17254,28.35,1 oz
LAMB,"LAMB,NZ,IMP,FRZ,FORESHANK,LN&FAT,1/8""FAT,RAW",17256,28.35,1 oz
LAMB,"LAMB,NZ,IMP,FRZ,LEG,WHL (SHK&SIRL),LN&FAT,1/8""FAT,RAW",17258,28.35,1 oz
LAMB,"LAMB,NZ,IMP,FRZ,LOIN,LN&FAT,1/8""FAT,RAW",17260,28.35,1 oz
LAMB,"LAMB,NZ,IMP,FRZ,RIB,LN&FAT,1/8""FAT,RAW",17262,28.35,1 oz
LAMB,"LAMB,NZ,IMP,FRZ,SHLDR,WHL (ARM&BLD),LN&FAT,1/8""FAT,RAW",17264,28.35,1 oz
LAMB,"LAMB,AUS,IMP,FRSH,COMP OF RTL CUTS,LN&FAT,1/8""FAT,RAW",17280,28.35,1 oz
LAMB,"LAMB,AUS,IMP,FRSH,COMP OF RTL CUTS,LN,1/8""FAT,RAW",17282,28.35,1 oz
LAMB,"LAMB,AUS,IMP,FRSH,FAT,RAW",17284,28.35,1 oz
LAMB,"LAMB,AUS,IMP,FRSH,FORESHANK,LN&FAT,1/8""FAT,RAW",17286,28.35,1 oz
LAMB,"LAMB,AUS,IMP,FRSH,FORESHANK,LN,1/8""FAT,RAW",17288,28.35,1 oz
LAMB,"LAMB,AUS,IMP,FRSH,LEG,WHL (SHK&SIRL),LN&FAT,1/8""FAT,RAW",17290,28.35,1 oz
LAMB,"LAMB,AUS,IMP,FRSH,LEG,WHL (SHK&SIRL),LN,1/8""FAT,RAW",17292,28.35,1 oz
LAMB,"LAMB,AUS,IMP,FRSH,LEG,SHANK HALF,LN&FAT,1/8""FAT,RAW",17294,28.35,1 oz
LAMB,"LAMB,AUS,IMP,FRSH,LEG,SHANK HALF,LN,1/8""FAT,RAW",17296,28.35,1 oz
LAMB,"LAMB,AUS,IMP,FRSH,LEG,SIRLOIN HALF,BNLESS,LN&FAT,1/8""FAT,RAW",17298,28.35,1 oz
LAMB,"LAMB,AUS,IMP,FRSH,LEG,SIRLOIN HALF,BNLESS,LN,1/8""FAT,RAW",17300,28.35,1 oz
LAMB,"LAMB,AUS,IMP,FRSH,LEG,SIRL CHOPS,BNLESS,LN&FAT,1/8""FAT,RAW",17302,28.35,1 oz
LAMB,"LAMB,AUS,IMP,FRSH,LEG,SIRLOIN CHOPS,BNLESS,LN,1/8""FAT,RAW",17304,28.35,1 oz
LAMB,"LAMB,AUS,IMP,FRSH,LEG,CNTR SLICE,BONE-IN,LN&FAT,1/8""FAT,RAW",17306,28.35,1 oz
LAMB,"LAMB,AUS,IMP,FRSH,LEG,CNTR SLICE,BONE-IN,LN,1/8""FAT,RAW",17308,28.35,1 oz
LAMB,"LAMB,AUS,IMP,FRSH,LOIN,LN&FAT,1/8""FAT,RAW",17310,28.35,1 oz
LAMB,"LAMB,AUS,IMP,FRSH,LOIN,LN,1/8""FAT,RAW",17312,28.35,1 oz
LAMB,"LAMB,AUS,IMP,FRSH,RIB,LN&FAT,1/8""FAT,RAW",17314,28.35,1 oz
LAMB,"LAMB,AUS,IMP,FRSH,RIB,LN,1/8""FAT,RAW",17316,28.35,1 oz
LAMB,"LAMB,AUS,IMP,FRSH,SHLDR,WHL (ARM&BLD),LN&FAT,1/8""FAT,RAW",17318,28.35,1 oz
LAMB,"LAMB,AUS,IMP,FRSH,SHLDR,WHL (ARM&BLD),LN,1/8""FAT,RAW",17320,28.35,1 oz
LAMB,"LAMB,AUS,IMP,FRSH,SHLDR,ARM,LN&FAT,1/8""FAT,RAW",17322,28.35,1 oz
LAMB,"LAMB,AUS,IMP,FRSH,SHLDR,ARM,LN,1/8""FAT,RAW",17324,28.35,1 oz
LAMB,"LAMB,AUS,IMP,FRSH,SHLDR,BLADE,LN&FAT,1/8""FAT,RAW",17326,28.35,1 oz
LAMB,"LAMB,AUS,IMP,FRSH,SHLDR,BLADE,LN,1/8""FAT,RAW",17328,28.35,1 oz
LAMB,"VEAL,VAR MEATS&BY-PRODUCTS,LIVER,CKD,PAN-FRIED",17204,66.72,1 slice
LAMB,"MORNINGSTAR FARMS VEGGIE CAKES SOUTHWESTERN STYLE,FRZ,UNPREP",16569,68,1 patty
LAMB,"LAMB,DOM,LOIN,LN&FAT,1/4""FAT,CHOIC,CKD,BRLD",17024,85,3 oz
LAMB,"LAMB,DOM,LOIN,LN,1/4""FAT,CHOIC,CKD,BRLD",17027,85,3 oz
LAMB,"LAMB,DOM,SHLDR,ARM,LN&FAT,1/4""FAT,CHOIC,CKD,BRSD",17044,85,3 oz
LAMB,"LAMB,DOM,SHLDR,ARM,LN&FAT,1/4""FAT,CHOIC,CKD,BRLD",17045,85,3 oz
LAMB,"LAMB,DOM,SHLDR,ARM,LN,1/4""FAT,CHOIC,CKD,BRSD",17048,85,3 oz
LAMB,"LAMB,DOM,SHLDR,ARM,LN,1/4""FAT,CHOIC,CKD,BRLD",17049,85,3 oz
LAMB,"LAMB,NZ,IMP,FRZ,LOIN,LN&FAT,CKD,BRLD",17077,85,3 oz
LAMB,"LAMB,NZ,IMP,FRZ,LOIN,LN,CKD,BRLD",17079,85,3 oz
LAMB,"VEAL,VAR MEATS&BY-PRODUCTS,THYMUS,CKD,BRSD",17219,85,3 oz
LAMB,"LAMB,DOM,LOIN,LN&FAT,1/8""FAT,CHOIC,CKD,BRLD",17237,85,3 oz
LAMB,"LAMB,DOM,SHLDR,ARM,LN&FAT,1/8""FAT,CHOIC,CKD,BRSD",17247,85,3 oz
LAMB,"LAMB,DOM,SHLDR,ARM,LN&FAT,1/8""FAT,CKD,BRLD",17248,85,3 oz
LAMB,"LAMB,NZ,IMP,FRZ,LOIN,LN&FAT,1/8""FAT,CKD,BRLD",17261,85,3 oz
LAMB,"LAMB,AUS,IMP,FRSH,LEG,SIRL CHPS,BNLESS,LN&FT,1/8""FT,CKD,BRLD",17303,85,3 oz
LAMB,"LAMB,AUS,IMP,FRSH,LEG,SIRL CHOPS,BNLESS,LN,1/8""FAT,CKD,BRLD",17305,85,3 oz
LAMB,"LAMB,AUS,IMP,FRSH,LEG,CNTR SLCE,BNE-IN,LN&FT,1/8""FT,CKD,BRLD",17307,85,3 oz
LAMB,"LAMB,AUS,IMP,FRSH,LEG,CNTR SLICE,BONE-IN,LN,1/8""FAT,CKD,BRLD",17309,85,3 oz
LAMB,"LAMB,AUS,IMP,FRSH,LOIN,LN&FAT,1/8""FAT,CKD,BRLD",17311,85,3 oz
LAMB,"LAMB,AUS,IMP,FRSH,LOIN,LN,1/8""FAT,CKD,BRLD",17313,85,3 oz
LAMB,"LAMB,AUS,IMP,FRSH,SHLDR,ARM,LN&FAT,1/8""FAT,CKD,BRSD",17323,85,3 oz
LAMB,"LAMB,AUS,IMP,FRSH,SHLDR,ARM,LN,1/8""FAT,CKD,BRSD",17325,85,3 oz
LAMB,"LAMB,DOM,FORESHANK,LN,1/4""FAT,CHOIC,CKD,BRSD",17010,128,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)"
LAMB,"LAMB,NZ,IMP,FRZ,FORESHANK,LN,CKD,BRSD",17071,138,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)"
LAMB,"LAMB,DOM,RIB,LN,1/4""FAT,CHOIC,CKD,BRLD",17033,147,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)"
LAMB,"LAMB,DOM,FORESHANK,LN&FAT,1/4""FAT,CHOIC,CKD,BRSD",17008,148,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)"
LAMB,"LAMB,DOM,FORESHANK,LN&FAT,1/8""FAT,CKD,BRSD",17229,148,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)"
LAMB,"LAMB,NZ,IMP,FRZ,RIB,LN,CKD,RSTD",17083,152,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)"
LAMB,"LAMB,DOM,RIB,LN,1/4""FAT,CHOIC,CKD,RSTD",17034,159,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)"
LAMB,"LAMB,NZ,IMP,FRZ,COMP OF RTL CUTS,LN,CKD",17065,164,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)"
LAMB,"LAMB,DOM,SHLDR,BLADE,LN,1/4""FAT,CHOIC,CKD,BRSD",17056,168,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)"
LAMB,"LAMB,NZ,IMP,FRZ,FORESHANK,LN&FAT,CKD,BRSD",17069,168,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)"
LAMB,"LAMB,NZ,IMP,FRZ,FORESHANK,LN&FAT,1/8""FAT,CKD,BRSD",17257,168,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)"
LAMB,"LAMB,DOM,SHLDR,WHL (ARM&BLD),LN,1/4""FAT,CHOIC,CKD,BRSD",17040,174,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)"
LAMB,"LAMB,AUS,IMP,FRSH,FORESHANK,LN,1/8""FAT,CKD,BRSD",17289,180,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)"
LAMB,"VEAL,VAR MEATS&BY-PRODUCTS,KIDNEYS,CKD,BRSD",17198,184,"1 unit, cooked (yield from 1 lb raw meat)"
LAMB,"LAMB,DOM,COMP OF RTL CUTS,LN,1/4""FAT,CHOIC,CKD",17004,187,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)"
LAMB,"LAMB,DOM,LOIN,LN,1/4""FAT,CHOIC,CKD,RSTD",17028,193,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)"
LAMB,"VEAL,VAR MEATS&BY-PRODUCTS,HEART,CKD,BRSD",17194,198,"1 unit, cooked (yield from 1 lb raw meat)"
LAMB,"LAMB,DOM,LEG,SIRLOIN HALF,LN,1/4""FAT,CHOIC,CKD,RSTD",17022,201,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)"
LAMB,"LAMB,DOM,SHLDR,WHL (ARM&BLD),LN,1/4""FAT,CHOIC,CKD,BRLD",17041,202,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)"
LAMB,"LAMB,NZ,IMP,FRZ,SHLDR,WHL (ARM&BLD),LN&FAT,CKD,BRSD",17085,206,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)"
LAMB,"LAMB,DOM,SHLDR,BLADE,LN,1/4""FAT,CHOIC,CKD,BRLD",17057,207,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)"
LAMB,"LAMB,DOM,SHLDR,BLADE,LN&FAT,1/8""FAT,CHOIC,CKD,BRSD",17251,207,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)"
