Category,Description,Nutrient Data Bank Number,Data.Household Weights(Gram),Data.Household Weight Description
BAMBOO SHOOTS,"BAMBOO SHOOTS,RAW",11026,151,"1 cup,  (1/2"" slices)"
BANANAS,"BANANAS,DEHYD,OR BANANA PDR",9041,100,1 cup
BANANAS,"BANANAS,RAW",9040,225,"1 cup, mashed"
BARLEY,"BARLEY,HULLED",20003,128,1 cup
BARLEY,"BARLEY,PEARLED,RAW",20004,184,1 cup
BARLEY,"BARLEY,PEARLED,COOKED",20005,200,1 cup
BASS,"BASS,FRESHWATER,MXD SP,CKD,DRY HEAT",15187,62,1 fillet
BASS,"BASS,FRSH H2O,MXD SP,RAW",15003,79,1 fillet
BASS,"BASS,STRIPED,CKD,DRY HEAT",15188,124,1 fillet
BASS,"BASS,STRIPED,RAW",15004,159,1 fillet
BEANS,SILK HAZELNUT CREAMER,16262,15,1 tbsp
BEANS,"BEANS,SNAP,YEL,CND,NO SALT,DRND SOL",11933,68,.5 cup
BEANS,"BEANS,NAVY,MATURE SEEDS,SPROUTED,RAW",11046,104,1 cup
BEANS,"BEANS,SNAP,GREEN,RAW",11052,110,1 cup
BEANS,"BEANS,SNAP,YELLOW,RAW",11722,110,1 cup
BEANS,"BEANS,SNAP,GRN,FRZ,ALL STYLES,MICROWAVED",11062,111.01,1 cup
BEANS,"BEANS,SNAP,CND,ALL STYLES,SEASONED,SOL&LIQUIDS",11058,114,.5 cup
BEANS,"BEANS,SNAP,GRN VAR,CND,REG PK,SOL&LIQUIDS",11054,120,.5 cup
BEANS,"BEANS,SNAP,GRN,CND,NO SALT,SOL&LIQUIDS",11726,120,.5 cup
BEANS,"BEANS,SNAP,YEL,CND,REG PK,SOL&LIQUIDS",11727,120,.5 cup
BEANS,"BEANS,SNAP,YEL,CND,NO SALT,SOL&LIQUIDS",11728,120,.5 cup
BEANS,"BEANS,SNAP,GRN,FRZ,ALL STYLES,UNPREP",11060,121.02,1 cup
BEANS,"BEANS,LIMA,IMMAT SEEDS,CND,REG PK,SOL&LIQUIDS",11033,124,.5 cup
BEANS,"BEANS,SNAP,YEL,FRZ,ALL STYLES,UNPREP",11730,124,1 cup
BEANS,"BEANS,SNAP,GRN,CKD,BLD,DRND,WO/SALT",11053,125,1 cup
BEANS,"BEANS,MUNG,MATURE SEEDS,SPROUTED,CND,DRND SOL",11626,125,1 cup
BEANS,"BEANS,SNAP,GRN,CKD,BLD,DRND,W/SALT",11723,125,1 cup
BEANS,"BEANS,SNAP,YEL,CKD,BLD,DRND,WO/SALT",11724,125,1 cup
BEANS,"BEANS,SNAP,YEL,CKD,BLD,DRND,W/SALT",11725,125,1 cup
BEANS,"BEANS,FAVA,IN POD,RAW",11973,126,1 cup
BEANS,"BEANS,SNAP,GRN,FRZ,CKD,BLD,DRND WO/SALT",11061,135,1 cup
BEANS,"BEANS,SNAP,GRN,CND,NO SALT,DRND SOL",11729,135,1 cup
BEANS,"BEANS,SNAP,GRN,FRZ,CKD,BLD,DRND,W/SALT",11731,135,1 cup
BEANS,"BEANS,SNAP,YEL,FRZ,CKD,BLD,DRND,WO/SALT",11732,135,1 cup
