Category,Description,Data.Household Weights(Gram),Data.Household Weight Description
BABYFOOD,"BABYFOOD,MEAT,VEAL,STR",16.16,1 tbsp
BABYFOOD,"Babyfood, vegetables, squash, strained",16.46,1 tbsp
BABYFOOD,"BABYFOOD,VEG,SQUASH,JR",16.46,1 tbsp
BABYFOOD,"BABYFOOD,FRUIT,PEACHES,STR",16.72,1 tbsp
BABYFOOD,"BABYFOOD,FRUIT,PEACHES,JR",16.72,1 tbsp
BABYFOOD,"BABYFOOD,MEAT,TURKEY,JR",18.86,1 tbsp
BABYFOOD,"BABYFOOD,MEAT,LAMB,STR",21.51,1 tbsp
BABYFOOD,"BABYFOOD,MEAT,BF,STR",28.35,1 oz
BABYFOOD,"BABYFOOD,MEAT,PORK,STR",28.35,1 oz
BABYFOOD,"BABYFOOD,MEAT,HAM,JUNIOR",28.35,1 oz
BABYFOOD,"BABYFOOD,MEAT,LAMB,JUNIOR",28.35,1 oz
BABYFOOD,"BABYFOOD,DINNER,VEG&DUMPLINGS&BF,STR",28.35,1 oz
BABYFOOD,"BABYFOOD,DINNER,VEG&DUMPLINGS&BF,JR",28.35,1 oz
BABYFOOD,"BABYFOOD,DINNER,BF LASAGNA,TODD",28.35,1 oz
BABYFOOD,"BABYFOOD,MACARONI&CHS,TODD",28.35,1 oz
BABYFOOD,"BABYFOOD,DINNER,BF&RICE,TODD",28.35,1 oz
BABYFOOD,"BABYFOOD,DINNER,SPAGHETTI&TOMATO&MEAT,TODD",28.35,1 oz
BABYFOOD,"BABYFOOD,DINNER,BF STEW,TODD",28.35,1 oz
BABYFOOD,"BABYFOOD,DINNER,VEG&LAMB,JR",28.35,1 oz
BABYFOOD,"BABYFOOD,DINNER,VEG,NOODLES&CHICK,STR",28.35,1 oz
BABYFOOD,"BABYFOOD,DINNER,VEG,NOODLES&CHICK,JR",28.35,1 oz
BABYFOOD,"BABYFOOD,DINNER,VEG&NOODLES&TURKEY,STR",28.35,1 oz
BABYFOOD,"BABYFOOD,DINNER,VEG&NOODLES&TURKEY,JR",28.35,1 oz
BABYFOOD,"BABYFOOD,DINNER,VEG&TURKEY,TODD",28.35,1 oz
BABYFOOD,"BABYFOOD,DINNER,MACARONI&CHS,STR",28.35,1 oz
BABYFOOD,"BABYFOOD,DINNER,MACARONI&CHS,JR",28.35,1 oz
BABYFOOD,"BABYFOOD,GRN BNS,DICES,TODD",28.35,1 oz
BABYFOOD,"BABYFOOD,APPLS,DICES,TODD",28.35,1 oz
BABYFOOD,"BABYFOOD,PEAS,DICES,TODD",28.35,1 oz
BABYFOOD,"BABYFOOD,FRUIT,PRUNES W/TAPIOCA,WO/VIT C,JR",28.35,1 oz
BABYFOOD,"BABYFOOD,PEARS,DICES,TODD",28.35,1 oz
BABYFOOD,"BABYFOOD,FRUIT,APPLSAUC&CHERRIES,STR",28.35,1 oz
BABYFOOD,"BABYFOOD,FRUIT,APPLSAUC&CHERRIES,JR",28.35,1 oz
BABYFOOD,"BABYFOOD,FRUIT,APPLSAUC&PNAPPL,STR",28.35,1 oz
BABYFOOD,"BABYFOOD,FRUIT,APPLSAUC&PNAPPL,JR",28.35,1 oz
BABYFOOD,"BABYFOOD,FRUIT,APPL & RASPBERRY,STR",28.35,1 oz
BABYFOOD,"BABYFOOD,FRUIT,APPL & RASPBERRY,JR",28.35,1 oz
BABYFOOD,"BABYFOOD,FRUIT,GUAVA&PAPAYA W/TAPIOCA,STR",28.35,1 oz
BABYFOOD,"BABYFOOD,PEACHES,DICES,TODD",28.35,1 oz
BABYFOOD,"BABYFOOD,FRUIT,PAPAYA&APPLSAUC W/TAPIOCA,STR",28.35,1 oz
BABYFOOD,"BABYFOOD,FRUIT,APPL&BLUEBERRY,STR",28.35,1 oz
BABYFOOD,"BABYFOOD,FRUIT,APPL&BLUEBERRY,JR",28.35,1 oz
BABYFOOD,"BABYFOOD,CRL,MXD,W/APPLSAUC&BANANAS,STR",28.35,1 oz
BABYFOOD,"BABYFOOD,CRL,MXD,W/ APPLSAUC & BANANAS,JR",28.35,1 oz
BABYFOOD,"BABYFOOD,CRL,OATMEAL,W/APPLSAUC&BANANAS,STR",28.35,1 oz
BABYFOOD,"BABYFOOD,CRL,OATMEAL,W/APPLSAUC&BANANAS,JR",28.35,1 oz
BABYFOOD,"BABYFOOD,CRL,W/EGG YOLKS,STR",28.35,1 oz
BABYFOOD,"BABYFOOD,CRL,W/EGG YOLKS,JR",28.35,1 oz
BABYFOOD,"BABYFOOD,CRL,W/EGGS,STR",28.35,1 oz
BABYFOOD,"BABYFOOD,CRL,EGG YOLKS&BACON,JR",28.35,1 oz
BABYFOOD,"BABYFOOD,COOKIES",28.35,1 oz
BABYFOOD,"BABYFOOD,COOKIES,ARROWROOT",28.35,1 oz
BABYFOOD,"BABYFOOD,PRETZELS",28.35,1 oz
BABYFOOD,"BABYFOOD,TEETHING BISCUITS",28.35,1 oz
BABYFOOD,"BABYFOOD,DSSRT,DUTCH APPL,STR",28.35,1 oz
BABYFOOD,"BABYFOOD,DSSRT,DUTCH APPL,JR",28.35,1 oz
BABYFOOD,"BABYFOOD,CHERRY COBBLER,JR",28.35,1 oz
BABYFOOD,"BABYFOOD,DSSRT,CHERRY VANILLA PUDD,STR",28.35,1 oz
