Category,Description,Nutrient Data Bank Number,Data.Alpha Carotene,Data.Ash,Data.Beta Carotene,Data.Beta Cryptoxanthin,Data.Carbohydrate,Data.Cholesterol,Data.Choline,Data.Fiber,Data.Kilocalories,Data.Lutein and Zeaxanthin,Data.Lycopene,Data.Manganese,Data.Niacin,Data.Pantothenic Acid,Data.Protein,Data.Refuse Percentage,Data.Retinol,Data.Riboflavin,Data.Selenium,Data.Sugar Total,Data.Thiamin,Data.Water,Data.Fat.Monosaturated Fat,Data.Fat.Polysaturated Fat,Data.Fat.Saturated Fat,Data.Fat.Total Lipid,Data.Household Weights(Gram),Data.Household Weight Description,Data.Major Minerals.Calcium,Data.Major Minerals.Copper,Data.Major Minerals.Iron,Data.Major Minerals.Magnesium,Data.Major Minerals.Phosphorus,Data.Major Minerals.Potassium,Data.Major Minerals.Sodium,Data.Major Minerals.Zinc,Data.Vitamins.Vitamin A - IU,Data.Vitamins.Vitamin A - RAE,Data.Vitamins.Vitamin B12,Data.Vitamins.Vitamin B6,Data.Vitamins.Vitamin C,Data.Vitamins.Vitamin E,Data.Vitamins.Vitamin K
CATFISH,CATFISH CHANNEL WILD COOKED DRY HEAT,15233,0,1.15,0,0,0,72,0,0,105,0,0,0.027,2.385,0.91,18.47,0,15,0.067,14.3,0,0.227,77.67,1.099,0.636,0.744,2.85,143,1 fillet,11,0.039,0.35,28,304,419,50,0.61,50,15,2.9,0.106,0.8,0,0
CATFISH,CATFISH CHANNEL FARMED COOKED DRY HEAT,15235,0,1.17,0,0,0,64,0,0,152,0,0,0.02,2.513,0.617,18.72,0,15,0.073,14.5,0,0.42,71.58,4.155,1.392,1.789,8.02,143,1 fillet,9,0.122,0.82,26,245,321,80,1.05,50,15,2.8,0.163,0.8,0,0
CATFISH,CATFISH CHANNEL WILD RAW,15010,0,0.96,0,0,0,58,0,0,95,0,0,0.025,1.907,0.765,16.38,0,15,0.072,12.6,0,0.21,80.36,0.844,0.865,0.722,2.82,159,1 fillet,14,0.034,0.3,23,209,358,43,0.51,50,15,2.23,0.116,0.7,0,0
CATFISH,CATFISH CHANNEL FARMED RAW,15234,0,1,0,0,0,47,65,0,135,0,0,0.018,2.304,0.6,15.55,0,15,0.075,12.6,0,0.361,75.38,3.586,1.568,1.768,7.59,159,1 fillet,9,0.101,0.5,23,202,299,53,0.74,50,15,2.47,0.188,0.6,1.2,0.1
CAULIFLOWER,CAULIFLOWER COOKED BOILED DRND WITHOUT SALT,11136,0,0.6,7,0,4.11,0,39,2.299999952,23,29,0,0.132,0.41,0.508,1.84,0,0,0.052,0.6,2.079999924,0.042,93,0.032,0.217,0.07,0.45,62,".5 cup   (1"" pieces)",16,0.018,0.32,9,32,142,15,0.17,12,1,0,0.173,44.3,0.07,13.8
CAULIFLOWER,CAULIFLOWER COOKED BOILED DRND WITH SALT,11761,0,0.6,7,0,4.11,0,39,2.299999952,23,29,0,0.132,0.41,0.508,1.84,0,0,0.052,0.6,1.860000014,0.042,93,0.032,0.217,0.07,0.45,62,".5 cup   (1"" pieces)",16,0.018,0.32,9,32,142,242,0.17,12,1,0,0.173,44.3,0.07,13.8
CAULIFLOWER,CAULIFLOWER GRN COOKED WITH  SALT,11968,0,0.9,0,0,6.28,0,0,3.299999952,32,0,0,0.242,0.681,0.681,3.04,0,0,0.1,0.8,0,0.07,89.47,0.029,0.137,0.049,0.31,62,".5 cup   (1"" pieces)",32,0.04,0.72,19,57,278,259,0.63,141,7,0,0.206,72.6,0,0
CAULIFLOWER,CAULIFLOWER GREEN RAW,11965,0,0.88,93,0,6.09,0,57,3.200000048,31,42,0,0.247,0.734,0.696,2.95,39,0,0.102,0.6,3.029999971,0.08,89.79,0.028,0.133,0.047,0.3,64,1 cup,33,0.041,0.73,20,62,300,23,0.64,155,8,0,0.222,88.1,0.04,20.2
CAULIFLOWER,CAULIFLOWER GRN COOKED NO SALT ADDED,11967,0,0.9,0,0,6.28,0,0,3.299999952,32,0,0,0.242,0.681,0.681,3.04,0,0,0.1,0.8,0,0.07,89.47,0.029,0.137,0.049,0.31,90,.2 head,32,0.04,0.72,19,57,278,23,0.63,141,7,0,0.206,72.6,0,0
CAULIFLOWER,CAULIFLOWER RAW,11135,0,0.71,8,0,5.3,0,45,2.5,25,33,0,0.156,0.526,0.652,1.98,61,0,0.063,0.6,2.400000095,0.057,91.91,0.007,0.048,0.015,0.1,100,1 cup,22,0.042,0.44,15,44,303,30,0.28,13,1,0,0.222,46.4,0.08,16
CAULIFLOWER,CAULIFLOWER FROZEN COOKED BOILED DRND WITHOUT SALT,11138,0,0.42,6,0,3.75,0,34,2.700000048,19,24,0,0.15,0.31,0.098,1.61,0,0,0.053,0.6,1.049999952,0.037,94,0.015,0.105,0.034,0.22,180,"1 cup   (1"" pieces)",17,0.024,0.41,9,24,139,18,0.13,10,0,0,0.088,31.3,0.06,11.9
CAULIFLOWER,CAULIFLOWER FROZEN COOKED BOILED DRND WITH SALT,11762,0,1.01,6,0,3.16,0,34,2.700000048,17,24,0,0.15,0.31,0.098,1.61,0,0,0.053,0.6,0.460000008,0.037,94,0.015,0.105,0.034,0.22,180,"1 cup   (1"" pieces)",17,0.024,0.41,9,24,139,254,0.13,10,0,0,0.088,31.3,0.06,11.9
CAULIFLOWER,CAULIFLOWER FROZEN UNPREP,11137,0,0.53,7,0,4.68,0,42,2.299999952,24,31,0,0.197,0.429,0.136,2.01,0,0,0.07,0.8,2.220000029,0.051,92.51,0.019,0.128,0.041,0.27,284,1 package   (10 oz),22,0.031,0.54,12,35,193,24,0.17,12,1,0,0.123,48.8,0.07,14.8
CAVIAR,CAVIAR BLACK&RED GRANULAR,15012,0,6.5,0,0,4,588,491,0,252,648,0,0.05,0.12,3.5,24.6,0,271,0.62,65.5,0,0.19,47.5,4.631,7.405,4.06,17.9,16,1 tbsp,275,0.11,11.88,300,356,181,1500,0.95,905,271,20,0.32,0,1.89,0.6
CELERIAC,CELERIAC COOKED BOILED DRND WITHOUT SALT,11142,0,0.64,0,0,5.9,0,0,1.200000048,27,0,0,0.096,0.427,0.203,0.96,0,0,0.037,0.4,0,0.027,92.3,0,0,0,0.19,155,1 cup  pieces,26,0.043,0.43,12,66,173,61,0.2,0,0,0,0.101,3.6,0,0
CELERIAC,CELERIAC COOKED BOILED DRND WITH SALT,11763,0,0.64,0,0,5.9,0,0,0,27,0,0,0.096,0.427,0.203,0.96,0,0,0.037,0.4,0,0.027,92.3,0,0,0,0.19,155,1 cup  pieces,26,0.043,0.43,12,66,173,297,0.2,0,0,0,0.101,3.6,0,0
CELERIAC,CELERIAC RAW,11141,0,1,0,0,9.2,0,9,1.799999952,42,1,0,0.158,0.7,0.352,1.5,14,0,0.06,0.7,1.600000024,0.05,88,0.058,0.148,0.079,0.3,156,1 cup,43,0.07,0.7,20,115,300,100,0.33,0,0,0,0.165,8,0.36,41
CELERY,CELERY RAW,11143,0,0.75,270,0,2.97,0,6,1.600000024,16,283,0,0.103,0.32,0.246,0.69,11,0,0.057,0.4,1.830000043,0.021,95.43,0.032,0.079,0.042,0.17,101.4,1 cup  chopped,40,0.035,0.2,11,24,260,80,0.13,449,22,0,0.074,3.1,0.27,29.3
CELERY,CELERY COOKED BOILED DRND WITHOUT SALT,11144,0,0.9,313,0,4,0,8,1.600000024,18,329,0,0.106,0.319,0.195,0.83,0,0,0.047,1,2.369999886,0.043,94.11,0.03,0.075,0.04,0.16,150,1 cup  diced,42,0.036,0.42,12,25,284,91,0.14,521,26,0,0.086,6.1,0.35,37.8
CELERY,CELERY COOKED BOILED DRND WITH SALT,11764,0,0.9,313,0,4,0,8,1.600000024,18,329,0,0.106,0.319,0.195,0.83,0,0,0.047,1,2.369999886,0.043,94.11,0.03,0.075,0.04,0.16,150,1 cup  diced,42,0.036,0.42,12,25,284,327,0.14,521,26,0,0.086,6.1,0.35,37.8
CELTUCE,CELTUCE RAW,11145,0,0.7,0,0,3.65,0,0,1.700000048,18,0,0,0.688,0.55,0.183,0.85,25,0,0.07,0.9,0,0.055,94.5,0,0,0,0.3,8,1 leaf,39,0.04,0.55,28,39,330,11,0.27,3500,175,0,0.05,19.5,0,0
CEREAL WAFER STRAWS,CEREAL WAFER STRAWS KELLOGG APPL JACKS CRL STRAWS,8555,0,2.5,0,0,78.4,10,0,0,439,0,0,0,6.5,0,5.7,0,0,0.5,0,40,0.5,2,3.2,2.4,5.8,11.4,31,3 straws   (1 NLEA serving),30,0,0,0,10,6,50,0,1612,0,1.9,0.6,0,0,0
CEREAL WAFER STRAWS,CEREAL WAFER STRAWS KELLOGG FROOT LOOPS CRL STRAWS,8556,0,2.8,0,0,78.4,0,0,0,438,0,0,0,6.5,0,5.4,0,0,0.5,0,38.59999847,0.5,2,3.3,2.16,5.9,11.4,31,3 straws   (1 NLEA serving),0,0,0,0,15,8,49,0,1612,0,1.9,0.6,0,0,0
CEREAL WAFER STRAWS,CEREAL WAFER STRAWS KELLOGG COCOA KRISPIES CRL STRAWS,8559,0,3.1,0,0,77.2,0,0,1.5,439,0,0,0,6.5,0,5.9,0,0,0.5,0,39,0.5,2,3.4,2.07,6.3,11.8,31,3 straws   (1 NLEA serving),9,0,1.6,25,47,236,50,0.4,1612,0,1.9,0.6,0,0,0
CEREALS,CEREALS QUAKER CORN GRITS INST PLAIN DRY,8092,0,3.32,1,1,78.82,0,14,4.800000191,342,5,0,0.31,8.9,0.43,8.43,0,0,0.75,17,0.289999992,0.66,8.44,0.14,0.3,0.1,0.97,28,1 packet,21,0.1,30.38,36,110,146,1089,0.67,3,0,0,0.21,0,0.12,0.3
CEREALS,CEREALS QUAKER CORN GRITS INST CHEDDAR CHS FLAVOR DRY,8094,0,4.97,2,1,73.08,2,15,4.199999809,366,4,0,0.27,7.83,0.4,8.37,0,3,0.66,15.7,2.130000114,0.58,7.6,1.57,0.87,1.76,5.97,28,1 packet,46,0.11,28.93,37,139,170,1865,0.75,13,3,0.2,0.16,0,0.4,1.2
CEREALS,CEREALS QUAKER CORN GRITS INST WITH IMITN BACON BITS DRY,8096,0,3.84,0,0,77.35,0,0,5.300000191,349,0,0,0.1,8.38,0.41,9.85,0,0,0.71,16,0.270000011,0.63,7.3,0.42,0.64,0.24,1.65,28,1 packet,38,0.07,28.93,34,141,252,1219,0.92,0,0,0,0.23,0,0,0
CEREALS,CEREALS OATS INST FORT PLAIN DRY,8122,0,3.1,0,0,67.55,0,41,10,375,0,0,2.92,16.55,1.1,12.72,0,1072,1.2,26.8,1.50999999,2.05,10.37,2.129,2.426,1.537,6.25,28,1 packet,352,0.374,29.27,138,424,359,258,3.54,3571,1072,0,1.6,0,0.47,1.9
CEREALS,CEREALS QUAKER CORN GRITS INST BUTTER FLAVOR DRY,8221,0,4.62,666,0,75.04,1,0,4.800000191,366,0,0,0.09,7.85,0.43,8.09,0,0,0.66,0,0.870000005,0.59,6.73,0.98,0.51,2.44,5.51,28,1 packet,411,0.07,28.93,27,84,147,1310,0.39,813,41,0,0.13,0,0,0
CEREALS,CEREALS QUAKER INST OATMEAL LO NA DRY,8229,0,3.5,0,0,67.29,0,0,9.800000191,365,0,0,4.19,15.72,0.69,13,0,1179,1.33,33.2,1.090000033,1.17,9.09,2.57,2.83,1.253,7.09,28,1 packet,393,0.3,29.4,134,452,375,278,3.01,3929,1180,0,1.57,0,0.64,3.2
CEREALS,CEREALS QUAKER INST GRITS PRODUCT WITH  AMERICAN CHS FLAVOR DRY,8449,0,4.46,0,0,75.15,1,0,4.400000095,364,0,0,0.09,8.15,0.41,8.9,0,0,0.69,0,2.00999999,0.61,6.8,2.29,1.12,1.08,4.67,28,1 packet,12,0.06,28.93,25,77,135,1518,0.41,9,0,0.29,0.14,0,0,0
CEREALS,CEREALS QUAKER INST GRITS PRODUCT--HAM 'N' CHS,8450,0,5.66,0,0,71.98,1,0,4.199999809,359,0,0,0.09,7.56,0.46,10.83,0,0,0.64,0,0,0.56,6.82,2.26,1.05,1.06,4.69,28,1 packet,23,0.11,28.93,34,95,212,1930,0.58,13,1,0.42,0.18,0,0,0
CEREALS,CEREALS QUAKER CORN GRITS INST CHEDDAR CHS FLAVOR PREP WITH H2O,8095,0,1.03,0,0,14.01,0,0,0.800000012,72,1,0,0.052,1.5,0.076,1.6,0,1,0.126,3.1,0.409999996,0.113,82.26,0.284,0.142,0.308,1.1,28.35,1 packet,11,0.026,5.53,8,27,33,358,0.15,3,1,0.04,0.031,0,0.08,0.2
CEREALS,CEREALS CREAM OF WHEAT MIX'N EAT PLAIN DRY,8108,0,2.8,0,0,75.6,0,0,2.299999952,361,0,0,0,17.6,0.462,9.7,0,1324,0.9,20,0,1.3,10.7,0.166,0.666,0.203,1.2,28.35,1 packet,71,0.144,28.6,27,71,135,850,0.85,4409,1324,0,1.8,0,0,0
CEREALS,CEREALS RTE MALT-O-MEAL TOASTY O'S,8350,0,4.4,0,0,74.6,1,26,10.69999981,404,0,0,0.299,19,0.077,13.1,0,218,2.01,37.5,3.900000095,1.57,2,2.16,2.27,1.23,5.92,30,1 cup   (1 NLEA serving),406,0.32,32.7,119,375,317,897,14.7,725,218,6.14,2.39,20.5,0.66,2.5
CEREALS,CEREALS QUAKER INST OATMEAL APPLS & CINN DRY,8124,0,3.36,0,0,77.92,0,0,7.900000095,365,0,0,2.51,12.6,0.46,8,0,945,1.07,22.5,35.52999878,0.94,6.3,1.51,1.26,0.734,4.39,35,1 packet,314,0.22,11.31,81,278,318,480,1.86,3150,946,0,1.26,1.2,0.38,2.2
CEREALS,CEREALS QUAKER INST OATMEAL FRUIT & CRM VAR DRY,8225,0,3.37,0,0,74.72,0,0,5.800000191,386,0,0,2.383,12.57,0.4,7.99,0,943,1.06,16,31.20000076,0.94,6.39,2.384,1.28,1.588,7.52,35,1 packet,314,0.187,11.31,80,298,283,509,1.73,3142,944,0.05,1.25,0.4,0.44,2
CEREALS,CEREALS CRM OF WHEAT MIX'N EAT APPL BANANA&MAPLE FLAV DRY,8110,0,2.4,0,0,81.6,0,0,2.5,373,0,0,0,14.1,0.329,6.9,0,1060,0.7,20,0,1.1,8,0,0,0,1.1,35.4,1 packet,113,0.159,22.9,26,57,155,680,0.65,3531,1060,0,1.4,0,0,0
CEREALS,CEREALS QUAKER INST OATMEAL RAISINS DATES & WALNUTS DRY,8228,0,3.82,0,0,73.69,0,0,6.599999905,365,0,0,2.66,11.35,0.44,8.87,0,852,0.96,21.2,0,0.84,8.12,1.73,2.11,0.94,5.5,37,1 packet,288,0.26,10.82,90,295,350,641,1.94,2838,852,0,1.14,0.6,0,0
CEREALS,CEREALS QUAKER HOMINY GRITS WHITE QUICK DRY,8314,0,0.44,0,0,79.16,0,0,4.800000191,347,0,0,0.22,4.81,0.31,8.53,0,0,0.33,0,1,0.58,10.48,0.2,0.68,0.26,1.36,37,.25 cup,4,0.11,3.52,49,166,146,2,0.92,0,0,0,0.27,0,0,0
CEREALS,CEREALS QUAKER HOMINY GRITS YEL QUICK DRY,8315,0,0.56,0,0,77.76,0,0,5.599999905,337,0,0,0.1,4.31,0.31,8.26,0,0,0.37,0,1.080000043,0.51,11.74,0.55,0.71,0.45,1.66,37,.25 cup,4,0.07,4.11,40,124,167,2,0.72,569,0,0,0.25,0,0,0
CEREALS,CEREALS QUAKER QUAKER MULTIGRAIN OATMEAL DRY,8200,0,1.59,6,0,73.44,0,27,12,333,193,0,2.62,3.57,0.5,11.3,0,0,0.13,44.4,0.600000024,0.29,11.07,0.57,1.28,0.52,2.58,40,.5 cup   (1 NLEA serving),34,0.44,2.98,115,346,411,3,3.2,10,1,0,0.24,0,0.75,3.3
CEREALS,CEREALS QUAKER OAT BRAN QUAKER/MOTHER'S OAT BRAN DRY,8231,0,3.14,0,0,62.94,0,0,14.30000019,364,0,0,5.7,0.8,0.85,17.03,0,0,0.3,0,1.429999948,0.97,8.9,2.61,3.03,1.43,7.97,40,.5 cup   (1 NLEA serving),79,0.3,8.07,241,694,579,5,4.2,100,0,0,0.11,0,0,0
CEREALS,CEREALS QUAKER QUICK OATS DRY,8402,0,1.87,0,0,68.18,0,0,9.399999619,371,180,0,4.3,0.82,0.71,13.7,0,0,0.12,34,1.419999957,0.54,9.37,1.98,2.3,1.11,6.87,40,.5 cup,47,0.37,4.64,270,458,358,3,3.2,0,0,0,0.1,0,0.7,3.2
CEREALS,CEREALS QUAKER INST OATMEAL BKD APPL DRY,8413,0,4.23,0,0,77.09,0,0,7.300000191,363,0,0,2.52,11,0.45,7.99,0,825,0.93,17.5,34.79999924,0.82,6.28,1.52,1.27,0.754,4.39,40,1 packet,550,0.22,9.9,82,279,300,565,1.85,2750,826,0,1.1,0.8,0.38,2.3
CEREALS,CEREALS QUAKER MOTHER'S INST OATMEAL (NON-FORTIFIED) DRY,8446,0,1.89,0,0,65.81,0,0,9.5,359,0,0,4.3,0.87,0.71,13.7,0,0,0.13,0,1.419999957,0.56,11.5,2.59,2.14,1.34,7.1,40,.25 cup   (1 NLEA serving),52,0.31,3.81,136,460,384,3,3.08,0,0,0,0.1,0,0,0
CEREALS,CEREALS KASHI GO LN HOT CRL HEARTY HONEY & CINN DRY,8561,0,4.5,0,0,63,1,0,19.39999962,362,0,0,0,0,0,22,0,0,0,0,15,0,5,1.5,3,1,5.5,40,1 packet   (1 NLEA serving),70,0,3.1,0,128,636,249,0,0,0,0,0,0,0,0
CEREALS,CEREALS KASHI KASHI GO LN HOT CRL TRULY VANILLA DRY,8562,0,5.7,0,0,65,0,0,12.80000019,362,0,0,0,0,0,19,0,0,0,0,18,0,5,1.8,2.8,0.7,5.3,40,1 packet   (1 NLEA serving),73,0,3.8,48,224,532,247,0,0,0,0,0,0,0,0
CEREALS,CEREALS QUAKER HOMINY GRITS WHITE REG DRY,8316,0,0.44,0,0,79.16,0,0,4.800000191,347,0,0,0.22,4.81,0.31,8.53,0,0,0.33,0,1,0.58,10.48,0.2,0.68,0.26,1.36,41,.25 cup,4,0.11,3.52,49,166,146,2,0.92,0,0,0,0.27,0,0,0
CEREALS,CEREALS QUAKER INST OATMEAL BANANA BREAD DRY,8417,0,3.83,0,0,75.86,0,0,6.400000095,368,0,0,2.83,10.73,0.46,8.85,0,805,0.91,17.9,30.46999931,0.8,6.68,1.708,1.41,0.785,4.75,41,1 packet,268,0.21,9.95,93,308,284,700,2.05,2683,806,0,1.07,0.9,0.43,1.6
CEREALS,CEREALS OATS INST FORT WITH  RAISINS & SPICE DRY,8132,0,3.42,0,0,76.31,0,24,6.199999809,360,0,0,2.35,10.22,0.38,7.76,0,768,0.86,21.7,36.31000137,0.76,8.23,1.49,1.34,0.8,4.27,42.5,1 packet,256,0.24,9.2,80,268,361,562,1.7,2556,768,0,1.02,0.7,0.42,2.4
CEREALS,CEREALS QUAKER INST OATMEAL MAPLE & BROWN SUGAR DRY,8130,0,4.07,0,0,75.28,0,0,6.599999905,366,0,0,2.88,10.23,0.47,8.93,0,767,0.87,21.7,30.43000031,0.76,6.87,1.74,1.44,0.835,4.83,43,1 packet,256,0.22,9.21,93,312,258,606,2.08,2558,768,0,1.02,0,0.44,2
CEREALS,CEREALS QUAKER INST OATMEAL FRENCH VANILLA FLAVOR DRY,8412,0,3.39,0,0,75.73,0,0,6.800000191,369,0,0,2.92,10.23,0.48,9.05,0,767,0.87,20.9,29.59000015,0.76,6.88,1.77,1.47,0.89,4.93,43,1 packet,256,0.22,9.2,93,317,263,572,2.1,2558,768,0,1.02,0.1,0.44,2
CEREALS,CEREALS QUAKER INST OATMEAL HONEY NUT DRY,8416,0,3.28,0,0,72.58,0,0,6.400000095,389,0,0,2.85,9.77,0.48,9.29,0,733,0.83,20.5,29.92000008,0.73,6.46,2.14,4.2,1.15,8.37,43,1 packet,244,0.28,8.8,95,311,267,547,2.09,2444,734,0,0.97,0.2,0.66,2
CEREALS,CEREALS QUAKER INST OATMEAL RAISIN & SPICE DRY,8436,0,3.42,0,0,76.31,0,0,6.199999809,360,0,0,2.35,10.22,0.38,7.76,0,768,0.86,21.7,36.31000137,0.76,8.23,1.49,1.34,0.8,4.27,43,1 packet,256,0.24,9.2,80,268,361,562,1.7,2556,768,0,1.02,0.7,0.42,2.4
CEREALS,CEREALS KASHI HEART TO HEART INST OATMEAL APPL CINN DRY,8568,0,1.1,764,0,78,0,0,11.39999962,374,0,0,0,0,0,10.7,0,0,0,0,28,0,5.3,1.7,2.2,1,4.9,43,1 packet   (1 NLEA serving),233,0,4.2,0,0,721,251,3.5,1273,64,14,4.7,70,46.9,0
CEREALS,CEREALS KASHI HEART TO HEART INST OATMEAL MAPLE DRY,8569,0,1.7,762,0,77,0,0,11.60000038,376,0,0,0,0,0,10.9,0,0,0,0,27,0,5.4,1.8,2.2,1,5,43,1 packet   (1 NLEA serving),233,0,4.2,0,0,605,231,3.5,1270,64,14,4.7,70,31.5,0
CEREALS,CEREALS KASHI HEART TO HEART INST OATMEAL RAISIN SPICE DRY,8570,0,3.5,766,0,77,0,0,10.10000038,354,0,0,0,0.1,0,8.1,0,0,0.1,0,38,0.2,7.5,1.3,1.6,1,3.9,43,1 packet   (1 NLEA serving),233,0,4.2,0,0,555,232,3.5,1277,64,14,4.7,70,46.9,0
CEREALS,CEREALS QUAKER FARINA CREAMY WHEAT ENR DRY,8230,0,0.42,0,0,76.13,0,0,2.900000095,349,0,0,0.28,3.52,0.43,10.82,0,0,0.26,0,0.300000012,0.44,11.66,0.08,0.48,0.24,0.95,44,.25 cup   (1 NLEA serving),12,0.12,30,17,85,98,2,0.61,0,0,0,0.05,0,0,0
CEREALS,CEREALS QUAKER INST OATMEAL NUTR FOR WOMEN VANILLA CINN DRY,8420,0,5.12,0,0,72.03,0,0,6.300000191,363,0,0,2.7,9.78,0.44,11.71,0,733,0.83,22.5,29.44000053,0.73,6.47,1.63,1.41,0.799,4.65,45,1 packet,866,0.26,15.43,89,321,264,638,2.08,2445,734,2.93,1.71,0.1,11.55,2.1
CEREALS,CEREALS CRM OF RICE DRY,8100,0,0.4,0,0,82.4,0,0,0.699999988,370,0,0,1.033,3,0.55,6.3,0,0,0.1,19,0.119999997,0.2,10.5,0.156,0.134,0.136,0.5,46,.25 cup   (1 NLEA serving),24,0.244,1.3,23,124,143,6,1.12,0,0,0,0.195,0,0.11,0.1
CEREALS,CEREALS OATS INST FORT WITH  CINN & SPICE DRY,8128,0,3.19,0,0,76.97,0,25,6.599999905,370,0,0,2.77,9.56,0.45,8.59,0,717,0.81,21.7,33.70000076,0.71,6.56,1.67,1.38,0.808,4.67,46,1 packet,239,0.21,8.6,89,300,251,535,2,2391,718,0,0.95,0.1,0.42,2
CEREALS,CEREALS QUAKER INST OATMEAL CINNAMON-SPICE DRY,8410,0,3.19,0,0,76.97,0,0,6.599999905,370,0,0,2.77,9.56,0.45,8.59,0,717,0.81,0,33.70000076,0.71,6.56,1.67,1.38,0.87,4.67,46,1 packet,239,0.21,8.6,89,300,251,535,2,2391,718,0,0.95,0.1,0.42,2
CEREALS,CEREALS QUAKER INST OATMEAL NUTR FOR WOMEN GLDN BRWN SGR DRY,8421,0,5.49,0,0,71.65,0,0,6.099999905,363,0,0,2.72,9.56,0.44,11.6,0,717,0.81,22.7,27.95999908,0.71,6.52,1.63,1.39,0.808,4.72,46,1 packet,847,0.25,15.09,97,324,314,706,2.07,2391,718,2.87,1.67,0,11.3,2.1
CEREALS,CEREALS QUAKER INST OATMEAL TREASURE HUNT DRY,8415,0,3.51,0,0,76.93,0,0,5.699999809,369,0,0,2.46,9.42,0.41,7.72,0,707,0.8,19.2,36.16999817,0.67,7.06,1.57,1.24,1.151,4.76,47,1 packet,223,0.18,8.04,90,266,223,541,1.78,2357,708,0,0.94,0.1,0.38,4
CEREALS,CEREALS QUAKER INST OATMEAL NUTR FOR WOMEN APPL SPICE DRY,8422,0,5.22,0,0,74.01,0,0,6.900000095,360,0,0,2.33,9.55,0.41,10.57,0,716,0.81,20.2,34,0.71,5.99,1.41,1.26,0.698,4.18,47,1 packet,846,0.26,15.07,77,284,292,672,1.83,2388,717,2.86,1.67,0.8,11.29,2.4
CEREALS,CEREALS QUAKER INST OATMEAL EXPRESS GOLDEN BROWN SUGAR DRY,8414,0,3.11,0,0,77,0,0,6.199999809,372,0,0,2.74,8.14,0.45,8.5,0,611,0.69,21,32.45000076,0.61,6.6,1.66,1.44,0.827,4.78,54,1 cup,204,0.21,7.33,87,303,248,538,1.97,2037,612,0,0.81,0,0.43,3.7
CEREALS,CEREALS QUAKER INST OATMEAL EXPRESS BKD APPL DRY,8418,0,3.52,0,0,77.43,0,0,7.300000191,367,0,0,2.55,8.14,0.45,8.07,0,611,0.69,17.7,34.56999969,0.61,6.35,1.55,1.37,0.788,4.62,54,1 cup,204,0.22,7.33,82,288,303,590,1.87,2037,612,0,0.81,0.8,0.4,5.4
CEREALS,CEREALS QUAKER INST OATMEAL EXPRESS CINN ROLL DRY,8419,0,2.97,0,0,76.34,0,0,6.699999809,371,118,0,2.85,8.15,0.47,8.85,0,612,0.69,22.6,30.98999977,0.61,6.77,1.73,1.5,0.92,5.04,54,1 cup,204,0.21,7.33,91,315,261,456,2.06,2037,612,0,0.81,0.2,0.44,2.1
CEREALS,CEREALS RTE KRAFT POST SELECTS CRANBERRY ALMOND CRUNCH,8544,0,2,2,0,79.06,0,14,6,386,84,0,1.71,8.772,0.697,7.4,0,395,0.746,26.7,25.88999939,0.658,6,2.974,1.778,0,5.55,57,1 cup   (1 NLEA serving),29,0.14,3.16,56,175,228,351,2.63,1316,395,0,0.877,26.3,1.91,3.7
CEREALS,CEREALS OATS REG & QUICK & INST NOT FORT DRY,8120,0,1.77,0,0,67.7,0,40,10.10000038,379,180,0,3.63,1.125,1.12,13.15,0,0,0.155,28.9,0.99000001,0.46,10.84,1.98,2.3,1.11,6.52,81,1 cup,52,0.391,4.25,138,410,362,6,3.64,0,0,0,0.1,0,0.42,2
CEREALS,CEREALS ROMAN MEAL PLAIN DRY,8136,0,2.4,0,0,72,0,0,17.89999962,322,0,0,0,6.72,0.81,14.4,0,0,0.25,44,0,0.5,9.1,0.288,1.005,0.326,2.2,93,1 cup,65,0.7,4.64,237,470,660,6,3.89,0,0,0,0.25,0,0,0
CEREALS,CEREALS MAYPO DRY,8118,0,3.2,0,0,72,0,25,10.80000019,385,124,0,0,21.2,0.768,13.2,0,1589,1.8,41.7,34.04999924,1.6,6.3,1.51,1.26,0.686,5.3,94,1 cup,282,0.36,19,115,562,478,19,3.35,5291,1589,6.3,2.1,64,0.38,3
CEREALS,CEREALS WHL WHEAT HOT NAT CRL DRY,8144,0,1.6,0,0,75.2,0,23,9.5,342,227,0,3.2,4.9,0.915,11.2,0,0,0.3,70.7,0.419999987,0.4,9.9,0.283,1.008,0.3,2,94,1 cup,40,0.458,3.39,122,379,389,2,2.66,0,0,0,0.391,0,1.31,2.4
CEREALS,CEREALS RALSTON DRY,8134,0,1.7,0,0,72.1,0,0,13.39999962,341,0,0,0,5.22,0.741,14.1,0,0,0.48,70.7,0,0.54,9.9,0,0,0,2.1,118,1 cup,35,0.508,4.2,152,377,392,11,3.6,0,0,0.28,0.289,0,0,0
CEREALS,CEREALS QUAKER CRNGRIT INST CNTRYBCN(IMTATN BCN BIT)PRPWITH H2O,8097,0,0.93,0,0,14.61,0,0,1,69,0,0,0.019,1.602,0.086,1.92,0,0,0.136,0,0.07,0.12,82.2,0.077,0.167,0.044,0.33,141,1 packet   prepared,4,0.028,5.53,5,18,40,293,0.11,0,0,0,0.027,0,0,0
CEREALS,CEREALS WHEATENA DRY,8142,0,1.9,13,0,75.6,0,0,12.80000019,357,292,0,5.262,3.52,0.271,13.1,0,0,0.14,70.7,1.600000024,0.07,6.5,0.41,1.46,0.43,2.9,141,1 cup,28,0.33,3.57,130,384,492,13,4.41,22,1,0,0.12,0,3.44,2.3
