Category,Description,Nutrient Data Bank Number,Data.Alpha Carotene,Data.Ash,Data.Beta Carotene,Data.Beta Cryptoxanthin,Data.Carbohydrate,Data.Cholesterol,Data.Choline,Data.Fiber,Data.Kilocalories,Data.Lutein and Zeaxanthin,Data.Lycopene,Data.Manganese,Data.Niacin,Data.Pantothenic Acid,Data.Protein,Data.Refuse Percentage,Data.Retinol,Data.Riboflavin,Data.Selenium,Data.Sugar Total,Data.Thiamin,Data.Water,Data.Fat.Monosaturated Fat,Data.Fat.Polysaturated Fat,Data.Fat.Saturated Fat,Data.Fat.Total Lipid,Data.Household Weights(Gram),Data.Household Weight Description,Data.Major Minerals.Calcium,Data.Major Minerals.Copper,Data.Major Minerals.Iron,Data.Major Minerals.Magnesium,Data.Major Minerals.Phosphorus,Data.Major Minerals.Potassium,Data.Major Minerals.Sodium,Data.Major Minerals.Zinc,Data.Vitamins.Vitamin A - IU,Data.Vitamins.Vitamin A - RAE,Data.Vitamins.Vitamin B12,Data.Vitamins.Vitamin B6,Data.Vitamins.Vitamin C,Data.Vitamins.Vitamin E,Data.Vitamins.Vitamin K
CORN,CORN WITH RED&GRN PEPPERS CANNED SOL&LIQUIDS,11184,0,1.45,0,0,18.17,0,0,0,75,0,0,0.043,0.95,0.447,2.33,0,0,0.08,0.6,0,0.022,77.5,0.157,0.261,0.085,0.55,227,1 cup,5,0.06,0.79,25,62,153,347,0.37,232,12,0,0.097,8.8,0,0
CORN,CORN SWT YEL CANNED CRM STYLE REG PK,11174,23,0.98,30,6,18.13,0,20,1.200000048,72,949,0,0.068,0.96,0.18,1.74,0,0,0.053,0.4,3.230000019,0.025,78.73,0.123,0.198,0.065,0.42,256,1 cup,3,0.052,0.38,17,51,134,285,0.53,74,4,0,0.063,4.6,0.07,0
CORN,CORN SWT YEL CANNED CRM STYLE NO SALT,11772,23,0.98,30,6,18.13,0,20,1.200000048,72,949,0,0.039,0.96,0.18,1.74,0,0,0.053,0.4,3.230000019,0.025,78.73,0.123,0.198,0.065,0.42,256,1 cup,3,0.052,0.38,17,51,134,3,0.53,74,4,0,0.063,4.6,0.07,0
CORN,CORN SWT WHITE CANNED CRM STYLE REG PK,11906,0,0.98,0,1,18.13,0,20,1.200000048,72,37,0,0.039,0.96,0.18,1.74,0,0,0.053,0.6,2.210000038,0.025,78.73,0.123,0.198,0.065,0.42,256,1 cup,3,0.052,0.38,17,51,134,285,0.53,1,0,0,0.063,4.6,0.06,0.3
CORN,CORN SWT YEL FROZEN KRNLS CUT OFF COB BOILED DRND WITHOUT SALT,11179,17,0.44,50,122,19.3,0,22,2.400000095,81,684,0,0.155,1.311,0.151,2.55,0,0,0.062,0.7,3.069999933,0.03,77.03,0.197,0.318,0.103,0.67,284,1 package   (10 oz) yields,3,0.048,0.47,28,79,233,1,0.63,199,10,0,0.099,3.5,0.07,0.3
CORN,CORN SWT YEL FROZEN KRNLS CUT OFF COB BOILED DRND WITH SALT,11774,17,1.03,50,122,18.71,0,0,2.400000095,79,730,0,0.155,1.311,0.151,2.55,0,0,0.062,0.7,3.069999933,0.03,77.03,0.126,0.203,0.066,0.67,284,1 package   (10 oz) yields,3,0.048,0.47,28,79,233,245,0.63,199,10,0,0.099,3.5,0.07,0.3
CORN,CORN SWT WHITE FROZEN KRNLS CUT OFF COB BOILED DRND WITHOUT SALT,11911,0,0.53,1,1,19.56,0,22,2.400000095,80,50,0,0.127,1.299,0.18,2.75,0,0,0.071,0.7,3.119999886,0.083,76.73,0.126,0.203,0.066,0.43,284,1 package   (10 oz) yields,4,0.037,0.35,19,57,147,5,0.4,3,0,0,0.129,3.1,0.07,0.3
CORN,CORN SWT WHITE FROZEN KRNLS CUT OFF COB BOILED DRND WITH SALT,11912,0,0.53,1,1,19.56,0,22,2.400000095,80,50,0,0.127,1.299,0.18,2.75,0,0,0.071,0.7,3.119999886,0.083,76.73,0.126,0.203,0.066,0.43,284,1 package   (10 oz) yields,4,0.037,0.35,19,57,147,245,0.4,3,0,0,0.129,3.1,0.07,0.3
CORN CAKES,CORN CAKES VERY LO NA,19720,0,0.2,0,0,69.6,0,0,0,265,0,0,0.185,0.02,0.008,0,0,0,0.017,0.6,0,0.005,30.1,0,0,0,0.1,315,1 cup,5,0.045,0.07,2,10,22,61,0.23,0,0,0,0,0,0,0
CORN FLOUR,CORN FLR WHOLE-GRAIN YEL,20015,21,0.36,32,0,85.64,0,18,79,224,1355,0,0.14,2.735,0.636,8.36,0,0,0.1,16.5,0,0.01,4.71,0.243,0.421,0.13,0.92,76,1 cup,42,0.248,2.79,64,72,44,7,1.56,71,4,0,0.152,0,0.42,0.3
CORN FLOUR,CORN FLR DEGERMED UNENR YEL,20017,0,1.57,1,1,76.27,0,4,9.600000381,365,5,0,0.484,9.843,0.658,9.34,0,0,0.753,15,0.639999986,1.429,9.03,0.997,1.724,0.532,3.78,114,1 cup,141,0.169,7.21,110,223,298,5,1.78,3,0,0,0.37,0,0.15,0.3
CORN FLOUR,CORN FLR MASA ENR WHITE,20016,63,1.45,97,0,76.85,0,22,7.300000191,361,1355,0,0.46,1.9,0.658,6.93,0,0,0.08,15.4,0.639999986,0.246,10.91,1.018,1.759,0.543,3.86,117,1 cup,7,0.23,2.38,93,272,315,5,1.73,214,11,0,0.37,0,0.42,0.3
CORN PUDD,CORN PUDD HOME PREP,11656,11,1.25,37,76,17,74,0,1.399999976,131,458,0,0.08,1.031,0.475,4.35,0,50,0.156,6,6.96999979,0.068,72.33,1.508,0.557,2.455,5.08,250,1 cup,40,0.032,0.54,15,93,176,281,0.52,300,56,0.27,0.136,3.7,0.12,0.5
CORN STARCH,CORNSTARCH,20025,0,4.91,0,0,74.79,0,0,7.099999905,355,0,0,0.105,4.566,0.312,8.41,0,0,0.387,0,0,0.678,10.17,0.429,0.739,0.234,1.72,138,1 cup,350,0.13,4.73,49,623,170,1348,1,214,11,0,0.39,0,0,0
CORN-BASED,CORN-BASED EXTRUDED CHIPS PLAIN,19002,0,6.8,0,0,11,48,109,1.799999952,410,0,0,0.111,1.732,0.163,33.2,0,0,0.142,10.7,9,0.154,23.36,11.305,1.011,10.85,25.6,28.35,1 oz,20,0.227,5.42,51,407,597,2213,8.11,0,0,0.99,0.179,0,0.49,2.3
CORN-BASED,CORN-BASED EXTRUDED CHIPS BARBECUE-FLAVOR,19003,0,2.22,0,0,63.01,0,12,5.300000191,518,212,0,0.434,0.362,0.564,6.03,0,0,0.64,6.7,1.159999967,0.016,0.33,7.913,14.01,3.612,28.41,28.35,1 oz,164,0.217,1.32,84,157,135,616,1.58,0,0,0,0.117,0,1.36,6.3
CORN-BASED,CORN-BASED EXTRUDED CONES PLAIN,19004,0,2.8,0,0,56.2,0,0,5.199999809,523,0,0,0.774,1.645,0.143,7,0,0,0.21,4.1,0,0.075,1.2,9.48,16.17,4.46,32.7,28.35,1 oz,131,0.166,1.54,77,207,236,763,1.06,611,31,0,0.23,1.7,0,0
CORN-BASED,CORN-BASED EXTRUDED CONES NACHO-FLAVOR,19005,0,2.3,0,0,62.9,0,0,1.100000024,510,0,0,0.087,1.41,0.225,5.8,0,0,0.24,3.8,0,0.32,2,1.7,0.78,22.75,26.9,28.35,1 oz,3,0.04,2.54,11,44,81,1022,0.21,318,16,0,0.04,0,0,0
